date,load
2011-01-01,4471.720136
2011-01-02,4264.783489
2011-01-03,4216.40508
2011-01-04,4177.230286
2011-01-05,4178.168199
2011-01-06,4109.151562
2011-01-07,4116.993197
2011-01-08,4156.528203
2011-01-09,4154.048307
2011-01-10,4002.685156
2011-01-11,3929.483422
2011-01-12,3796.189645
2011-01-13,3648.781524
2011-01-14,3592.077443
2011-01-15,3751.065525
2011-01-16,3827.934322
2011-01-17,3668.630964
2011-01-18,3639.894144
2011-01-19,3686.046216
2011-01-20,3723.834588
2011-01-21,3788.237649
2011-01-22,4123.026092
2011-01-23,4399.573386
2011-01-24,4246.874517
2011-01-25,4155.225642
2011-01-26,4201.70817
2011-01-27,4279.542059
2011-01-28,4298.384135
2011-01-29,4450.736728
2011-01-30,4670.122509
2011-01-31,4581.476298
2011-02-01,4432.868913
2011-02-02,4300.965739
2011-02-03,4210.552433
2011-02-04,4208.821549
2011-02-05,4323.749698
2011-02-06,4483.278802
2011-02-07,4495.860342
2011-02-08,4372.200403
2011-02-09,4277.300476
2011-02-10,4151.359982
2011-02-11,4091.905431
2011-02-12,4204.054628
2011-02-13,4218.60246
2011-02-14,4045.971946
2011-02-15,3870.482271
2011-02-16,3958.828574
2011-02-17,3942.03707
2011-02-18,3927.088515
2011-02-19,4144.881481
2011-02-20,4135.919829
2011-02-21,3862.111924
2011-02-22,3741.259762
2011-02-23,3819.197614
2011-02-24,3756.435763
2011-02-25,3650.840896
2011-02-26,3694.663075
2011-02-27,3608.960908
2011-02-28,3368.687768
