date,load
2011-01-01,4703.979982
2011-01-02,4699.643413
2011-01-03,4751.287708
2011-01-04,4752.85813
2011-01-05,4850.066243
2011-01-06,4834.206266
2011-01-07,4799.855632
2011-01-08,4881.799802
2011-01-09,4902.447092
2011-01-10,4855.584512
2011-01-11,4867.406973
2011-01-12,4869.284898
2011-01-13,4842.978325
2011-01-14,4937.516678
2011-01-15,5176.711342
2011-01-16,5176.599433
2011-01-17,4966.004984
2011-01-18,4928.052326
2011-01-19,4936.612275
2011-01-20,4933.541675
2011-01-21,5157.682911
2011-01-22,5514.356078
2011-01-23,5694.088239
2011-01-24,5541.356407
2011-01-25,5406.617892
2011-01-26,5488.571757
2011-01-27,5583.476455
2011-01-28,5678.680791
2011-01-29,5866.869342
2011-01-30,5957.688587
2011-01-31,5921.793391
2011-02-01,5830.205975
2011-02-02,5683.601998
2011-02-03,5578.577978
2011-02-04,5686.788362
2011-02-05,5815.304762
2011-02-06,5939.909673
2011-02-07,5930.012934
2011-02-08,5768.62771
2011-02-09,5568.333333
2011-02-10,5471.473621
2011-02-11,5372.717226
2011-02-12,5358.042726
2011-02-13,5337.929336
2011-02-14,5152.027911
2011-02-15,4943.008681
2011-02-16,4897.612583
2011-02-17,4834.32698
2011-02-18,4899.197683
2011-02-19,5046.480588
2011-02-20,5056.194
2011-02-21,4923.03009
2011-02-22,4830.056517
2011-02-23,4817.159537
2011-02-24,4685.023296
2011-02-25,4675.264715
2011-02-26,4730.545177
2011-02-27,4675.956988
2011-02-28,4509.129865
