date,load
2011-01-01,5003.671716
2011-01-02,4818.087445
2011-01-03,4637.361175
2011-01-04,4607.49872
2011-01-05,4618.380351
2011-01-06,4573.789889
2011-01-07,4602.552565
2011-01-08,4692.683016
2011-01-09,4671.437236
2011-01-10,4586.631038
2011-01-11,4600.550848
2011-01-12,4649.39991
2011-01-13,4658.770216
2011-01-14,4742.203181
2011-01-15,4883.060929
2011-01-16,4906.19601
2011-01-17,4858.674095
2011-01-18,4902.321908
2011-01-19,4972.819427
2011-01-20,4995.262912
2011-01-21,5082.821058
2011-01-22,5218.685516
2011-01-23,5227.803303
2011-01-24,5157.625675
2011-01-25,5170.650248
2011-01-26,5203.489283
2011-01-27,5182.398559
2011-01-28,5221.89203
2011-01-29,5306.644999
2011-01-30,5263.174432
2011-01-31,5140.532316
2011-02-01,5102.790598
2011-02-02,5088.052753
2011-02-03,5023.928652
2011-02-04,5026.100139
2011-02-05,5080.182026
2011-02-06,5013.368849
2011-02-07,4875.104634
2011-02-08,4829.555161
2011-02-09,4814.618322
2011-02-10,4757.409306
2011-02-11,4772.847648
2011-02-12,4845.550032
2011-02-13,4801.51797
2011-02-14,4688.855987
2011-02-15,4670.297933
2011-02-16,4682.274863
2011-02-17,4650.458963
2011-02-18,4688.40824
2011-02-19,4779.513576
2011-02-20,4748.735113
2011-02-21,4643.361684
2011-02-22,4625.569259
2011-02-23,4631.510576
2011-02-24,4586.869586
2011-02-25,4605.504995
2011-02-26,4671.384592
2011-02-27,4610.297821
2011-02-28,4470.581297
