date,load
2011-01-01,4434.848801
2011-01-02,4289.221224
2011-01-03,4286.580403
2011-01-04,4184.56013
2011-01-05,4173.48021
2011-01-06,4086.153752
2011-01-07,4059.370203
2011-01-08,4185.597624
2011-01-09,4360.345427
2011-01-10,4225.818762
2011-01-11,4013.975646
2011-01-12,3821.09389
2011-01-13,3683.626239
2011-01-14,3624.614833
2011-01-15,3899.718672
2011-01-16,4016.592211
2011-01-17,3911.489202
2011-01-18,3842.951041
2011-01-19,3775.852279
2011-01-20,3736.748061
2011-01-21,3884.894409
2011-01-22,4208.033607
2011-01-23,4389.081764
2011-01-24,4202.541943
2011-01-25,4086.803958
2011-01-26,4163.832391
2011-01-27,4228.51213
2011-01-28,4238.491371
2011-01-29,4448.489981
2011-01-30,4660.521487
2011-01-31,4637.181737
2011-02-01,4510.960063
2011-02-02,4341.880135
2011-02-03,4266.187873
2011-02-04,4227.060619
2011-02-05,4270.419638
2011-02-06,4407.911154
2011-02-07,4477.271864
2011-02-08,4339.547519
2011-02-09,4142.921938
2011-02-10,4000.400599
2011-02-11,3979.356269
2011-02-12,4113.67241
2011-02-13,4210.854374
2011-02-14,4098.875163
2011-02-15,3891.509193
2011-02-16,3924.920402
2011-02-17,3860.732303
2011-02-18,3887.249916
2011-02-19,4111.047883
2011-02-20,4153.600503
2011-02-21,3885.066854
2011-02-22,3778.78865
2011-02-23,3868.435625
2011-02-24,3723.323238
2011-02-25,3612.991033
2011-02-26,3645.402201
2011-02-27,3554.111479
2011-02-28,3390.44036
