date,load
1/1/11,5003.671716
1/2/11,4818.087445
1/3/11,4637.361175
1/4/11,4607.49872
1/5/11,4618.380351
1/6/11,4573.789889
1/7/11,4602.552565
1/8/11,4692.683016
1/9/11,4671.437236
1/10/11,4586.631038
1/11/11,4600.550848
1/12/11,4649.39991
1/13/11,4658.770216
1/14/11,4742.203181
1/15/11,4883.060929
1/16/11,4906.19601
1/17/11,4858.674095
1/18/11,4902.321908
1/19/11,4972.819427
1/20/11,4995.262912
1/21/11,5082.821058
1/22/11,5218.685516
1/23/11,5227.803303
1/24/11,5157.625675
1/25/11,5170.650248
1/26/11,5203.489283
1/27/11,5182.398559
1/28/11,5221.89203
1/29/11,5306.644999
1/30/11,5263.174432
1/31/11,5140.532316
2/1/11,5102.790598
2/2/11,5088.052753
2/3/11,5023.928652
2/4/11,5026.100139
2/5/11,5080.182026
2/6/11,5013.368849
2/7/11,4875.104634
2/8/11,4829.555161
2/9/11,4814.618322
2/10/11,4757.409306
2/11/11,4772.847648
2/12/11,4845.550032
2/13/11,4801.51797
2/14/11,4688.855987
2/15/11,4670.297933
2/16/11,4682.274863
2/17/11,4650.458963
2/18/11,4688.40824
2/19/11,4779.513576
2/20/11,4748.735113
2/21/11,4643.361684
2/22/11,4625.569259
2/23/11,4631.510576
2/24/11,4586.869586
2/25/11,4605.504995
2/26/11,4671.384592
2/27/11,4610.297821
2/28/11,4470.581297
